time,X (rad/s),Y (rad/s),Z (rad/s),label
2599.0,-0.146498727422385,0.12076940422043031,0.08977479900560512,highfive
2599.5,-0.1334021541961439,0.1261940748049264,0.07629766095847433,highfive
2600.0,-0.1178398471732326,0.12993533136857496,0.06526833213759428,highfive
2600.5,-0.09965171148063992,0.131607925783497,0.056710750509622466,highfive
2601.0,-0.07870855288176291,0.1309346322198578,0.05049995492686698,highfive
2601.5,-0.05497243705722602,0.12774353996130572,0.04637650672167363,highfive
2602.0,-0.028557321383959073,0.12196488879207446,0.04396918000653729,highfive
2602.5,0.00021882796718951646,0.11362945928727256,0.042824759314306786,highfive
2603.0,0.030798669423888182,0.10286953747180252,0.04244325608817739,highfive
2603.5,0.062373564732490346,0.08992229528851371,0.04231638329121505,highfive
2604.0,0.09389941454308377,0.0751342575353951,0.04196676357004799,highfive
2604.5,0.12414157740082449,0.05896455719743064,0.0409851409190705,highfive
2605.0,0.15174692369750734,0.04198408317050162,0.039062857729170404,highfive
2605.5,0.17533786395119622,0.024867515430199,0.03601707071076178,highfive
2606.0,0.19362039936956013,0.008375673263274725,0.03180661193164311,highfive
2606.5,0.20549619611171543,-0.006673452384289865,0.0265370343106711,highfive
2607.0,0.21016763508837058,-0.01944524823446481,0.020454172300095205,highfive
2607.5,0.2072248844319491,-0.029139252316849874,0.013926438210658016,highfive
2608.0,0.1967053043689652,-0.03504711064132122,0.007416990045510011,highfive
2608.5,0.17911781464309878,-0.03661314865689825,0.0014477688314094082,highfive
2609.0,0.15542800171382226,-0.03349183140948975,-0.0034418663726666836,highfive
2609.5,0.1270033905154655,-0.025595781384206536,-0.00673865104723549,highfive
2610.0,0.09552207243576392,-0.013128105671902467,-0.007997555916038252,highfive
2610.5,0.06285137901652563,0.0034063782127329504,-0.006879071697501621,highfive
2611.0,0.030906172166690827,0.02321484991538193,-0.003178501294427724,highfive
2611.5,0.0014983197139336066,0.04525674363116179,0.003155236343418782,highfive
2612.0,-0.02381012059332901,0.06830951171395305,0.012012903145009033,highfive
2612.5,-0.04383762183576447,0.09105601525423417,0.02313090618401372,highfive
2613.0,-0.05788659620763687,0.11218697034631277,0.036109387996801016,highfive
2613.5,-0.06581033659987404,0.13050966469310446,0.050440841464487615,highfive
2614.0,-0.068037098367223,0.14505273076703587,0.06554674012962826,highfive
2614.5,-0.06554816296968044,0.15515635810247017,0.08081900729457284,highfive
2615.0,-0.05981020082881048,0.1605380825251094,0.09566278025692669,highfive
2615.5,-0.05266573966950891,0.16132620716509014,0.1095368872414809,highfive
2616.0,-0.04618883148965614,0.15805584910715076,0.12198873785226425,highfive
2616.5,-0.04251589517742791,0.1516262896016474,0.1326808963501148,highfive
2617.0,-0.0436640061732254,0.14322234536798187,0.1414073994085859,highfive
2617.5,-0.05135043823224785,0.1342064136785405,0.1480988182718087,highfive
2618.0,-0.06682788392264452,0.12599120008569695,0.1528160631442743,highfive
2618.5,-0.09074936887387303,0.11990548839975686,0.1557338980920765,highfive
2619.0,-0.1230753557834115,0.11706633957376066,0.1571159962144068,highfive
2619.5,-0.1630329018183705,0.1182706473226201,0.15728404671020052,highfive
2620.0,-0.20913307149697286,0.12391705522347266,0.15658387246498384,highfive
2620.5,-0.2592483079287757,0.1339660608603553,0.15535169304036253,highfive
2621.0,-0.31074643379134714,0.14794206870673515,0.15388356032240377,highfive
2621.5,-0.36067279959702087,0.16497669296367526,0.15241061440056886,highfive
2622.0,-0.40596730737236875,0.18388829502757115,0.15108219263038355,highfive
2622.5,-0.4436991299198535,0.2032890872425708,0.14995803543275463,highfive
2623.0,-0.471299405749473,0.22170857153619278,0.1490099461851971,highfive
2623.5,-0.48677140506774474,0.23772088193416027,0.1481323675282717,highfive
2624.0,-0.48885885674495244,0.2500638472518552,0.1471605208242665,highfive
2624.5,-0.4771563107909677,0.2577391705941679,0.14589409777649406,highfive
2625.0,-0.45215036058500957,0.2600857489990203,0.1441240526631285,highfive
2625.5,-0.41518681434849575,0.25682142231215616,0.1416598536461781,highfive
2626.0,-0.3683658582900538,0.24805188702652212,0.13835461636484536,highfive
2626.5,-0.31437416353243874,0.23424870327716746,0.13412583843605452,highfive
2627.0,-0.2562690125905624,0.21620091335207708,0.1289699323382201,highfive
2627.5,-0.1972341963680041,0.19494655956144505,0.12296935443802107,highfive
2628.0,-0.14033015611695643,0.17169126514276417,0.1162917828251698,highfive
2628.5,-0.08826132816338512,0.14772108569694128,0.10918144416103798,highfive
2629.0,-0.04318184656160691,0.12431621483702972,0.10194328019888939,highfive
2629.5,-0.00655686610541658,0.10267105933838676,0.09492114458921434,highfive
2630.0,0.020908803528109247,0.08382492102075127,0.08847161328523233,highfive
2630.5,0.03926973338166156,0.06860624055908536,0.08293527425911112,highfive
2631.0,0.049268649420359106,0.057592219660526404,0.07860753977485407,highfive
2631.5,0.05220380202159387,0.051084717360582635,0.07571110494381905,highfive
2632.0,0.04974960015082559,0.04910261759022619,0.07437216425733598,highfive
2632.5,0.04374945274372904,0.051390336923364394,0.07460239075672734,highfive
2633.0,0.036002095599980674,0.05744170010755052,0.07628846996218973,highfive
2633.5,0.0280628861842121,0.0665379688107775,0.07919064638465932,highfive
2634.0,0.021079643295942144,0.07779829874786495,0.08295126776584642,highfive
2634.5,0.01567882175625738,0.0902402933026214,0.08711369196079084,highfive
2635.0,0.011912547442220398,0.10284763616737833,0.09115116081275021,highfive
2635.5,0.00927082863592897,0.1146410846116108,0.09450437615008782,highfive
2636.0,0.006756715861009988,0.12474848605762334,0.09662559610762017,highfive
2636.5,0.0030159344540086567,0.13246905762951267,0.09702619485361695,highfive
2637.0,-0.003492843114824542,0.13732705132731596,0.09532390598994543,highfive
2637.5,-0.01430487715501108,0.13911020258712975,0.09128551662880881,highfive
2638.0,-0.03075337050016414,0.13788907300764092,0.08486070046047423,highfive
2638.5,-0.05379079048208949,0.13401454413853012,0.07620304653945374,highfive
2639.0,-0.08384589206148152,0.12809224014339107,0.06567517848248657,highfive
2639.5,-0.12073121776376902,0.12093444559702143,0.05383612752197797,highfive
2640.0,-0.1636107786951582,0.11349199512575481,0.041410720332713764,highfive
2640.5,-0.21103160414668132,0.10677047529739614,0.02924251144895389,highfive
2641.0,-0.2610164983621989,0.10173672125654427,0.018233535407086606,highfive
2641.5,-0.31120931127667334,0.09922284719494676,0.009275667533982398,highfive
2642.0,-0.3590589296783694,0.09983578320963471,0.0031794720817107614,highfive
2642.5,-0.40202453687780615,0.1038804023224213,0.0006069328456539851,highfive
2643.0,-0.437782822888057,0.11130375849047168,0.002014320550241278,highfive
2643.5,-0.4644179065402297,0.12166671962985771,0.0076106476094376105,highfive
2644.0,-0.48057669929020946,0.13414742329585516,0.017335768832524932,highfive
2644.5,-0.48557604374304847,0.14757861392490182,0.030860350943405748,highfive
2645.0,-0.47945278191615676,0.16051819577370674,0.04760785040496739,highfive
2645.5,-0.46295342327778966,0.17134945353291045,0.06679653076258761,highfive
2646.0,-0.4374657183061833,0.17840458362618844,0.08749764089356964,highfive
2646.5,-0.4048996449694086,0.18010269153512087,0.10870436353589828,highfive
2647.0,-0.3675296030746784,0.175091491232316,0.1294051840960494,highfive
2647.5,-0.3278126232335199,0.1623808161055098,0.14865501823569527,highfive
2648.0,-0.2881989170081493,0.14145589378140666,0.16563780004381784,highfive
2648.5,-0.2509510616171932,0.11235925642315239,0.17971522737905188,highfive
2649.0,-0.21798661445468004,0.07573216833468692,0.19045787837832814,highfive
2649.5,-0.1907562072447809,0.0328094630257989,0.1976567898656397,highfive
2650.0,-0.17016549440664544,-0.014634510097809457,0.2013156230852538,highfive
2650.5,-0.1565451065085056,-0.06438683084868597,0.20162551585210114,highfive
2651.0,-0.14966839457682915,-0.11393745007076203,0.19892641918255935,highfive
2651.5,-0.14881264029488053,-0.16065068176396213,0.19365995571671327,highfive
2652.0,-0.15285590245505848,-0.20195304148322776,0.18631948181970964,highfive
2652.5,-0.16039905184145695,-0.23552166215562026,0.17740301709730413,highfive
2653.0,-0.1699010039531288,-0.2594569409287408,0.16737403262005718,highfive
2653.5,-0.17981477664506473,-0.2724241217630896,0.15663384788083154,highfive
2654.0,-0.1887127548972496,-0.27375115430762487,0.14550772975126128,highfive
2654.5,-0.19539131126441017,-0.2634741529014496,0.13424491787267007,highfive
2655.0,-0.1989474919201111,-0.24232670007976795,0.12303094937310233,highfive
2655.5,-0.19882354996366366,-0.21167456164113152,0.11200904950795511,highfive
2656.0,-0.19481836517099513,-0.17340251464934256,0.10130619317988433,highfive
2656.5,-0.18706790122041164,-0.12976436894354587,0.091058872278893,highfive
2657.0,-0.17599951427126526,-0.08321041884943506,0.08143370198875675,highfive
2657.5,-0.1622668978613321,-0.0362081838534422,0.07263876173473054,highfive
2658.0,-0.14667357212186483,0.008927736079899913,0.0649229077812863,highfive
2658.5,-0.1300930460171748,0.050182479708622184,0.05856205556980672,highfive
2659.0,-0.11339315036614478,0.08595315745605984,0.05383339475214502,highfive
2659.5,-0.0973707021640529,0.115119144194504,0.05098041934374084,highfive
2660.0,-0.08270083526822382,0.1370674845843825,0.05017327559870931,highfive
2660.5,-0.06990327888960718,0.1516748911186213,0.05147002303014335,highfive
2661.0,-0.05932585026228262,0.1592518155475105,0.05478479653563808,highfive
2661.5,-0.05114368958326042,0.160457275190715,0.05986845678514421,highfive
2662.0,-0.04537148333943752,0.1561952500823965,0.06630612561366318,highfive
2662.5,-0.041885196110783784,0.147504391653866,0.07353412999457751,highfive
2663.0,-0.04044967171435131,0.13545248279001412,0.08087652604518124,highfive
2663.5,-0.040748798984751894,0.12104566607702211,0.0875988246019389,highfive
2664.0,-0.042415626225646215,0.10516011713836601,0.09297411866849632,highfive
2664.5,-0.045060673642251727,0.0885008651490637,0.09635485068067878,highfive
2665.0,-0.04829755138081046,0.0715891817923857,0.09724224213188928,highfive
