time,X (µT),Y (µT),Z (µT),label
100.0,-21.293545898199014,4.910137806258782,7.021237929513101,handshake
100.5,-22.788934410765272,3.7617659850772194,6.942054497740088,handshake
101.0,-23.93338029760666,2.6340816030265524,7.020407121774168,handshake
101.5,-24.727395632162164,1.5461666150910485,7.21496485573771,handshake
102.0,-25.18690107714011,0.5078626506147449,7.481722801811669,handshake
102.5,-25.340899681616776,-0.47798275240691,7.778089987748978,handshake
103.0,-25.228852526246243,-1.4127698372219308,8.066504521173789,handshake
103.5,-24.897915509950767,-2.299229419547631,8.31731862787453,handshake
104.0,-24.400167483400704,-3.1386584271927966,8.510771439555597,handshake
104.5,-23.78993042971893,-3.928598140671055,8.637950097579552,handshake
105.0,-23.121256414709265,-4.661188582684173,8.700723013802449,handshake
105.5,-22.44563602097369,-5.322359835558235,8.710707064494077,handshake
106.0,-21.809969791470024,-5.891939398264867,8.687398439483504,handshake
106.5,-21.254837237028482,-6.344671041289364,8.655651541276434,handshake
107.0,-20.813095485249075,-6.652061318549993,8.642729734541204,handshake
107.5,-20.508839255737467,-6.784900269921762,8.675174993452202,handshake
108.0,-20.35675291512853,-6.716247008547207,8.775750551856273,handshake
108.5,-20.361881499708158,-6.424631692292837,8.960702125762417,handshake
109.0,-20.519838998555898,-5.897204482318788,9.237560193080892,handshake
109.5,-20.817457943655462,-5.1325600511667275,9.603669565862726,handshake
110.0,-21.233864563359493,-4.142982608556726,10.045584765804707,handshake
110.5,-21.741939591118115,-2.955890014951786,10.539412533942343,handshake
111.0,-22.31009840987809,-1.6143043695878294,11.052118574395177,handshake
111.5,-22.904298404273852,-0.17623786952003262,11.543747201410985,handshake
112.0,-23.490159408717876,1.2870464470615959,11.97043327502023,handshake
112.5,-24.03506813734501,2.693862921122268,12.288019524957406,handshake
113.0,-24.510132091642024,3.9559061608791732,12.456033386536127,handshake
113.5,-24.891854337531232,4.982839028237536,12.441730453438298,handshake
114.0,-25.16341811788455,5.687408483159932,12.223881349195159,handshake
114.5,-25.315498466183225,5.9907768241908546,11.795969752357415,handshake
115.0,-25.34655435412928,5.827717840238062,11.168485283886886,handshake
115.5,-25.262595830241544,5.151310911042322,10.37003847221698,handshake
116.0,-25.07646177012733,3.936774702394004,9.447096579270534,handshake
116.5,-24.806680816620858,2.1841180394587387,8.462236640323898,handshake
117.0,-24.476016897510917,-0.08065077963950484,7.490930535686826,handshake
117.5,-24.109818516796476,-2.8059254515910164,6.6170079609114065,handshake
118.0,-23.73429649414493,-5.9165723419557255,5.927075547894822,handshake
118.5,-23.37484837626619,-9.317603996046028,5.504290711093315,handshake
119.0,-23.05453140707213,-12.89926005052522,5.421982794036908,handshake
119.5,-22.792763034335323,-16.543178252150323,5.737668381850378,handshake
