"Time (s)","X (hPa)"
2.418419953E2,1.011886673E3
2.428508873E2,1.011884766E3
2.438597273E2,1.011882858E3
2.448686023E2,1.011882019E3
2.458774873E2,1.011876831E3
2.462247973E2,1.011876831E3
2.473009443E2,1.011878281E3
2.483771123E2,1.011881256E3
2.494532563E2,1.011885147E3
2.505293703E2,1.011890640E3
2.516055223E2,1.011890640E3
2.526817183E2,1.011889725E3
2.537578973E2,1.011889725E3
2.548340233E2,1.011890259E3
2.559101623E2,1.011890259E3
2.569863313E2,1.011883316E3
2.580624953E2,1.011882401E3
2.591386573E2,1.011878738E3
2.602147673E2,1.011874313E3
2.612909033E2,1.011872787E3
2.623670563E2,1.011872787E3
2.634431703E2,1.011873169E3
2.645192563E2,1.011873169E3
2.655953623E2,1.011870651E3
2.666715403E2,1.011870651E3
2.677477163E2,1.011871109E3
2.688238583E2,1.011871109E3
2.699000053E2,1.011872559E3
2.709761393E2,1.011872406E3
2.720522683E2,1.011872406E3
2.731284223E2,1.011871109E3
2.742045673E2,1.011871109E3
2.752806493E2,1.011872330E3
2.763567403E2,1.011872330E3
2.774328273E2,1.011872330E3
2.785089113E2,1.011873322E3
2.795850293E2,1.011878204E3
2.806611433E2,1.011882095E3
2.817372303E2,1.011888351E3
2.828133563E2,1.011892548E3
2.838894733E2,1.011892548E3
2.849655823E2,1.011891556E3
2.860416833E2,1.011891556E3
2.871177803E2,1.011890640E3
2.881938813E2,1.011890640E3
2.892699803E2,1.011893234E3
2.903460543E2,1.011896744E3
2.914220933E2,1.011898422E3
2.924981533E2,1.011898422E3
2.935742043E2,1.011895523E3
2.946502533E2,1.011892166E3
2.957263593E2,1.011891937E3
2.968024313E2,1.011890717E3
2.978785183E2,1.011890106E3
2.989546263E2,1.011888428E3
